date,temp,humidity,pressure,pm25,pm10
2023-07-15 18:27:05,102,20,995,67,70
2023-07-15 18:27:10,102,20,995,67,70
2023-07-15 18:27:15,102,20,995,68,71
2023-07-15 18:27:20,102,20,995,68,71
2023-07-15 18:27:26,103,20,995,68,71
2023-07-15 18:27:31,103,20,995,67,70
2023-07-15 18:27:36,103,20,995,67,70
2023-07-15 18:27:41,103,20,995,67,70
2023-07-15 18:27:46,103,20,995,68,71
2023-07-15 18:27:52,102,19,995,68,71
2023-07-15 18:27:57,102,19,995,68,71
2023-07-15 18:28:02,102,19,995,68,71
2023-07-15 18:28:07,102,20,995,68,71
2023-07-15 18:28:12,103,19,995,68,71
2023-07-15 18:28:17,103,19,995,68,72
2023-07-15 18:28:22,103,19,995,68,72
2023-07-15 18:28:27,103,19,995,68,72
2023-07-15 18:28:33,103,19,995,66,68
2023-07-15 18:28:38,103,19,995,64,66
2023-07-15 18:28:43,103,19,995,65,67
2023-07-15 18:28:48,103,19,995,65,66
2023-07-15 18:28:53,103,19,995,64,65
2023-07-15 18:28:58,103,19,996,64,65
2023-07-15 18:29:03,103,19,995,66,66
2023-07-15 18:29:09,103,19,995,65,65
2023-07-15 18:29:14,103,19,995,67,67
2023-07-15 18:29:19,103,19,995,66,66
2023-07-15 18:29:24,103,19,996,67,67
2023-07-15 18:29:29,103,19,996,70,70
2023-07-15 18:29:34,103,19,996,70,70
2023-07-15 18:29:40,103,19,996,70,70
2023-07-15 18:29:45,103,19,996,71,71
2023-07-15 18:29:50,103,19,996,72,72
2023-07-15 18:29:55,103,19,996,72,72
2023-07-15 18:30:00,103,19,996,71,71
2023-07-15 18:30:05,103,19,996,70,70
2023-07-15 18:30:10,103,19,995,70,70
2023-07-15 18:30:15,103,19,995,70,70
2023-07-15 18:30:20,103,19,996,68,69
2023-07-15 18:30:26,103,19,996,68,69
2023-07-15 18:30:31,103,19,995,68,69
2023-07-15 18:30:36,103,19,995,70,71
2023-07-15 18:30:41,103,19,995,67,69
2023-07-15 18:30:46,103,19,995,66,68
2023-07-15 18:30:51,103,19,995,65,67
2023-07-15 18:30:56,103,19,995,63,65
2023-07-15 18:31:01,103,19,996,63,65
2023-07-15 18:31:07,103,19,996,62,64
2023-07-15 18:31:12,103,19,996,63,65
2023-07-15 18:31:17,103,19,996,63,65
2023-07-15 18:31:22,103,19,996,65,68
2023-07-15 18:31:27,103,18,995,65,67
2023-07-15 18:31:32,103,18,996,66,67
2023-07-15 18:31:37,103,18,996,68,68
2023-07-15 18:31:43,103,18,996,68,68
2023-07-15 18:31:48,103,18,996,68,68
2023-07-15 18:31:53,103,18,996,67,67
2023-07-15 18:31:58,103,18,996,67,68
2023-07-15 18:32:03,103,18,996,69,70
2023-07-15 18:32:08,103,18,996,68,69
2023-07-15 18:32:13,103,18,996,69,70
2023-07-15 18:32:18,103,18,996,68,69
2023-07-15 18:32:24,103,18,996,69,70
2023-07-15 18:32:29,103,18,996,70,71
2023-07-15 18:32:34,103,18,996,69,71
2023-07-15 18:32:39,103,18,996,70,71
2023-07-15 18:32:44,103,19,996,70,72
2023-07-15 18:32:49,103,18,996,70,71
2023-07-15 18:32:54,103,18,996,69,70
2023-07-15 18:33:00,103,18,996,69,70
2023-07-15 18:33:05,103,18,996,69,70
2023-07-15 18:33:10,103,18,996,70,71
2023-07-15 18:33:15,103,19,996,70,71
2023-07-15 18:33:20,103,18,996,70,71
2023-07-15 18:33:25,103,18,996,70,71
2023-07-15 18:33:30,103,19,996,70,71
2023-07-15 18:33:35,103,19,996,70,71
2023-07-15 18:33:40,103,18,996,70,71
2023-07-15 18:33:46,103,18,996,70,71
2023-07-15 18:33:51,103,19,996,70,71
2023-07-15 18:33:56,103,19,996,67,68
2023-07-15 18:34:01,103,18,996,67,68
2023-07-15 18:34:06,103,19,996,67,68
2023-07-15 18:34:11,103,18,996,65,65
2023-07-15 18:34:16,103,19,996,65,65
2023-07-15 18:34:21,103,19,996,65,65
2023-07-15 18:34:26,103,18,996,65,66
2023-07-15 18:34:32,103,19,996,65,66
2023-07-15 18:34:37,102,19,996,65,66
2023-07-15 18:34:42,102,18,996,63,64
2023-07-15 18:34:47,102,19,996,63,64
2023-07-15 18:34:52,102,19,996,63,64
2023-07-15 18:34:57,102,19,996,62,63
2023-07-15 18:35:02,102,18,996,62,63
2023-07-15 18:35:08,102,19,996,62,63
2023-07-15 18:35:13,102,19,996,63,63
2023-07-15 18:35:18,102,19,996,63,63
2023-07-15 18:35:23,102,19,996,63,64
2023-07-15 18:35:28,102,19,996,63,64
2023-07-15 18:35:33,102,19,996,63,63
2023-07-15 18:35:38,102,19,995,64,65
2023-07-15 18:35:44,102,19,995,65,66
2023-07-15 18:35:49,102,19,995,65,66
2023-07-15 18:35:54,102,19,995,65,67
2023-07-15 18:35:59,102,19,995,67,68
2023-07-15 18:36:04,102,19,995,67,68
2023-07-15 18:36:09,102,19,995,68,69
2023-07-15 18:36:14,102,19,995,67,68
2023-07-15 18:36:19,102,19,996,67,68
2023-07-15 18:36:25,102,19,996,67,68
2023-07-15 18:36:30,102,19,996,66,67
2023-07-15 18:36:35,102,18,996,66,67
2023-07-15 18:36:40,102,18,996,66,67
2023-07-15 18:36:45,102,19,995,66,67
2023-07-15 18:36:50,102,19,995,66,68
2023-07-15 18:36:55,102,19,995,64,66
2023-07-15 18:37:00,102,19,995,63,64
2023-07-15 18:37:05,102,19,995,62,63
2023-07-15 18:37:11,102,19,995,63,64
2023-07-15 18:37:16,102,19,995,63,65
2023-07-15 18:37:21,102,19,995,64,66
2023-07-15 18:37:26,102,19,995,62,64
2023-07-15 18:37:31,102,18,995,64,66
2023-07-15 18:37:36,102,19,995,63,65
2023-07-15 18:37:41,102,19,995,64,65
2023-07-15 18:37:46,102,19,995,64,66
2023-07-15 18:37:52,102,19,995,64,66
2023-07-15 18:37:57,102,19,995,64,66
2023-07-15 18:38:02,102,19,995,66,68
2023-07-15 18:38:07,102,19,995,67,69
2023-07-15 18:38:12,102,19,996,66,68
2023-07-15 18:38:17,102,19,995,66,68
2023-07-15 18:38:22,102,19,995,64,65
2023-07-15 18:38:27,102,19,995,65,66
2023-07-15 18:38:33,102,19,995,64,65
2023-07-15 18:38:38,102,19,995,63,64
2023-07-15 18:38:43,102,18,995,61,62
2023-07-15 18:38:48,102,19,995,61,61
2023-07-15 18:38:53,102,19,995,59,60
2023-07-15 18:38:58,102,19,995,60,61
2023-07-15 18:39:03,102,19,995,61,62
2023-07-15 18:39:08,102,19,995,61,62
2023-07-15 18:39:13,102,19,995,61,62
2023-07-15 18:39:19,102,19,995,60,62
2023-07-15 18:39:24,102,19,995,60,62
2023-07-15 18:39:29,102,19,995,60,62
2023-07-15 18:39:34,102,19,995,61,62
2023-07-15 18:39:39,102,19,995,61,62
2023-07-15 18:39:44,102,19,995,61,62
2023-07-15 18:39:49,102,19,995,61,62
2023-07-15 18:39:55,102,19,995,61,62
2023-07-15 18:40:00,102,19,995,61,62
2023-07-15 18:40:05,102,19,995,62,64
2023-07-15 18:40:10,102,19,995,62,64
2023-07-15 18:40:15,102,19,995,62,64
2023-07-15 18:40:20,102,19,995,62,64
2023-07-15 18:40:25,102,19,995,62,64
2023-07-15 18:40:30,102,19,996,62,64
2023-07-15 18:40:35,102,19,996,64,65
2023-07-15 18:40:41,101,19,996,64,65
2023-07-15 18:40:46,102,19,995,64,65
2023-07-15 18:40:51,101,19,995,64,66
2023-07-15 18:40:56,102,19,995,66,68
2023-07-15 18:41:01,102,19,995,66,68
2023-07-15 18:41:06,102,19,996,67,68
2023-07-15 18:41:11,102,19,995,66,67
2023-07-15 18:41:16,102,19,995,66,67
2023-07-15 18:41:22,102,19,995,64,66
2023-07-15 18:41:27,102,19,996,64,66
2023-07-15 18:41:32,102,19,996,64,66
2023-07-15 18:41:37,102,19,995,62,65
2023-07-15 18:41:42,102,19,995,62,65
2023-07-15 18:41:47,102,19,995,62,65
2023-07-15 18:41:52,102,19,996,60,63
2023-07-15 18:41:57,102,19,996,60,63
2023-07-15 18:42:03,102,19,995,60,63
2023-07-15 18:42:08,102,19,996,63,66
2023-07-15 18:42:13,102,19,996,63,66
2023-07-15 18:42:18,102,19,996,65,67
2023-07-15 18:42:23,102,19,995,65,68
2023-07-15 18:42:28,102,19,996,64,67
2023-07-15 18:42:34,101,19,996,64,67
2023-07-15 18:42:39,102,19,996,63,65
2023-07-15 18:42:44,102,19,996,63,64
2023-07-15 18:42:49,102,19,996,65,65
2023-07-15 18:42:54,102,19,996,65,66
2023-07-15 18:42:59,102,19,996,63,63
2023-07-15 18:43:04,102,19,996,64,64
2023-07-15 18:43:09,102,19,996,62,62
2023-07-15 18:43:15,102,19,996,62,62
2023-07-15 18:43:20,102,19,996,62,62
2023-07-15 18:43:25,102,19,996,61,61
2023-07-15 18:43:30,101,19,996,60,60
2023-07-15 18:43:35,101,19,996,60,60
2023-07-15 18:43:40,101,19,996,62,62
2023-07-15 18:43:45,101,19,996,62,62
2023-07-15 18:43:50,101,19,996,63,63
2023-07-15 18:43:55,101,19,996,62,63
2023-07-15 18:44:01,101,19,996,62,63
2023-07-15 18:44:06,101,19,996,62,63
2023-07-15 18:44:11,102,19,996,63,65
2023-07-15 18:44:16,102,19,995,63,65
2023-07-15 18:44:21,102,19,995,63,65
2023-07-15 18:44:26,102,19,995,64,66
2023-07-15 18:44:31,102,19,995,64,66
2023-07-15 18:44:36,102,19,996,64,66
2023-07-15 18:44:42,102,19,996,62,64
2023-07-15 18:44:47,101,19,996,62,64
2023-07-15 18:44:52,101,19,996,62,64
2023-07-15 18:44:57,101,19,996,62,64
2023-07-15 18:45:02,101,19,995,62,64
2023-07-15 18:45:07,101,19,996,62,64
2023-07-15 18:45:12,101,19,995,62,64
2023-07-15 18:45:17,101,19,995,62,64
2023-07-15 18:45:23,101,19,995,62,64
2023-07-15 18:45:28,101,19,996,61,63
2023-07-15 18:45:33,101,19,996,61,63
2023-07-15 18:45:38,101,19,996,61,63
2023-07-15 18:45:43,101,19,996,59,61
2023-07-15 18:45:48,101,19,996,59,61
2023-07-15 18:45:53,101,19,995,59,61
2023-07-15 18:45:59,101,19,996,60,62
2023-07-15 18:46:04,101,19,996,60,62
2023-07-15 18:46:09,101,19,996,60,62
2023-07-15 18:46:14,101,19,996,61,63
2023-07-15 18:46:19,101,19,996,61,63
2023-07-15 18:46:24,101,19,996,61,63
2023-07-15 18:46:29,101,19,996,60,62
2023-07-15 18:46:35,101,19,996,61,62
2023-07-15 18:46:40,101,19,996,61,61
2023-07-15 18:46:45,101,19,995,61,62
2023-07-15 18:46:50,101,19,995,63,63
2023-07-15 18:46:55,101,19,996,62,62
2023-07-15 18:47:00,101,19,996,63,63
2023-07-15 18:47:05,101,19,996,63,63
2023-07-15 18:47:10,101,19,996,64,64
2023-07-15 18:47:15,101,19,996,64,64
2023-07-15 18:47:21,101,19,996,64,64
2023-07-15 18:47:26,101,19,996,62,63
2023-07-15 18:47:31,101,19,996,63,64
2023-07-15 18:47:36,101,19,996,63,64
2023-07-15 18:47:41,101,19,996,63,64
2023-07-15 18:47:46,101,19,996,62,63
2023-07-15 18:47:51,101,19,995,62,63
2023-07-15 18:47:56,101,19,995,62,63
2023-07-15 18:48:02,101,19,995,63,63
2023-07-15 18:48:07,101,19,995,63,63
2023-07-15 18:48:12,101,19,995,63,63
2023-07-15 18:48:17,101,19,995,64,65
2023-07-15 18:48:22,101,19,996,64,65
2023-07-15 18:48:27,101,19,996,64,65
2023-07-15 18:48:33,101,19,996,64,65
2023-07-15 18:48:38,101,19,996,64,65
2023-07-15 18:48:43,101,19,995,64,65
2023-07-15 18:48:48,101,19,995,65,67
2023-07-15 18:48:53,101,19,995,65,67
2023-07-15 18:48:58,101,19,995,65,67
2023-07-15 18:49:03,101,19,996,64,65
2023-07-15 18:49:08,101,19,996,64,65
2023-07-15 18:49:14,101,19,995,64,65
2023-07-15 18:49:19,101,19,995,63,64
2023-07-15 18:49:24,101,19,996,63,64
2023-07-15 18:49:29,101,19,996,63,64
2023-07-15 18:49:34,101,19,995,63,64
2023-07-15 18:49:39,101,19,996,63,64
2023-07-15 18:49:45,101,19,995,63,64
2023-07-15 18:49:50,101,19,996,64,67
2023-07-15 18:49:55,101,19,996,64,67
2023-07-15 18:50:00,101,19,995,64,67
2023-07-15 18:50:05,101,19,995,64,66
2023-07-15 18:50:10,101,19,996,64,66
2023-07-15 18:50:15,101,19,996,64,66
2023-07-15 18:50:20,101,19,995,65,67
2023-07-15 18:50:25,101,19,995,65,67
2023-07-15 18:50:31,101,19,995,65,67
2023-07-15 18:50:36,101,19,996,64,66
2023-07-15 18:50:41,101,19,995,64,66
2023-07-15 18:50:46,101,19,996,64,66
2023-07-15 18:50:51,101,19,995,64,66
2023-07-15 18:50:56,101,19,996,64,66
2023-07-15 18:51:01,101,19,995,64,66
2023-07-15 18:51:06,101,19,995,62,64
2023-07-15 18:51:11,101,19,995,62,64
2023-07-15 18:51:17,102,19,995,62,64
2023-07-15 18:51:22,102,19,995,61,62
2023-07-15 18:51:27,102,19,995,61,62
2023-07-15 18:51:32,102,19,995,61,62
2023-07-15 18:51:37,102,19,995,60,62
2023-07-15 18:51:42,102,18,995,60,62
2023-07-15 18:51:48,102,18,995,60,62
2023-07-15 18:51:53,102,18,995,59,61
2023-07-15 18:51:58,102,18,995,59,61
2023-07-15 18:52:03,102,18,995,59,61
2023-07-15 18:52:08,102,18,995,61,63
2023-07-15 18:52:13,102,18,995,61,62
2023-07-15 18:52:18,102,18,995,61,62
2023-07-15 18:52:23,102,18,995,60,61
2023-07-15 18:52:29,102,18,995,59,60
2023-07-15 18:52:34,102,18,995,58,59
2023-07-15 18:52:39,102,18,995,60,61
2023-07-15 18:52:44,102,18,995,59,61
2023-07-15 18:52:49,102,18,995,59,60
2023-07-15 18:52:54,102,18,995,60,61
2023-07-15 18:52:59,102,18,995,57,58
2023-07-15 18:53:05,102,18,995,56,57
2023-07-15 18:53:10,102,19,995,55,55
2023-07-15 18:53:15,102,19,995,55,55
2023-07-15 18:53:20,102,19,995,55,55
2023-07-15 18:53:25,102,19,995,56,56
2023-07-15 18:53:30,102,19,995,56,56
2023-07-15 18:53:35,102,19,995,56,56
2023-07-15 18:53:40,102,19,995,57,57
2023-07-15 18:53:45,102,19,995,57,57
2023-07-15 18:53:51,102,19,995,57,57
2023-07-15 18:53:56,102,19,995,57,57
2023-07-15 18:54:01,102,19,995,57,57
2023-07-15 18:54:06,102,19,995,57,57
